  ,,,,,,,,,,,,,,,,,,
  ,,,,,,,,,,,,,,,,,,
  ,,,,,,,,,,,,,,,,,,
 ,P1-4: ,,,,,,,,,,,,,,,,,
  ,,,,,,,,,,,,,,,,,,
 ,ID,result (r=2),QVIP-time (r=2),ID,result (r=4),QVIP-time (r=4),ID,result (r=6),QVIP-time (r=6),ID,result (r=10),QVIP-time (r=10),ID,result (r=20),QVIP-time (r=20),ID,result (r=30),QVIP-time (r=30)
 ,198,Robust,0.59028101,365,Robust,1.909576654,588,Robust,1.690346003,952,Non-robust,31.74993896,1961,Non-robust,49.87776399,2918,Non-robust,1.123385191
 ,167,Robust,0.014019728,371,Robust,0.648819208,577,Robust,9.706818581,946,Non-robust,520.6206386,1975,Non-robust,8.036260128,2930,Non-robust,1.622504234
 ,173,Robust,0.340425968,359,Non-robust,89.45719123,563,Robust,1231.870154,991,Non-robust,289.6956418,1949,Non-robust,2.684273958,2924,Non-robust,11.74257565
 ,172,Robust,0.062501907,358,Non-robust,174.4488318,562,Non-robust,321.035125,985,Robust,748.8964539,1948,Non-robust,1.423253298,2925,Non-robust,2.782726049
 ,166,Robust,0.151815176,370,Robust,0.257321119,576,Robust,0.695610046,984,Non-robust,274.1806762,1974,Non-robust,31.03829408,2931,Non-robust,1.518057823
 ,199,Robust,0.259670019,364,Robust,0.400947094,589,NA,NA,990,Non-robust,352.0828733,1960,Non-robust,7.437548399,2919,Non-robust,0.561755657
 ,170,Robust,1.757941961,399,Robust,3.602847338,560,Non-robust,31.21990538,947,NA,NA,1989,Non-robust,0.257590055,2927,NA,NA
 ,164,Robust,0.050756931,372,Non-robust,77.462044,574,Robust,3.9765172,953,Non-robust,79.71380949,1976,Non-robust,61.90141129,2933,Non-robust,3.287070751
 ,158,Non-robust,12.02050161,366,Robust,2.346873045,548,NA,NA,979,Non-robust,9.659715176,1962,Non-robust,149.619993,2932,Non-robust,1.433212519
 ,159,Robust,0.393068314,367,Robust,0.417615414,549,Robust,0.247160673,945,Robust,4.387559175,1963,Non-robust,0.245696545,2926,Non-robust,0.683802366
 ,165,Robust,0.013051033,373,Robust,1.32003212,575,Non-robust,246.4377272,951,NA,NA,1977,Non-robust,1.394911289,2922,Non-robust,5.213354826
 ,171,Robust,0.321351051,398,Robust,3.160786152,561,Robust,12.61994076,986,Non-robust,265.4756246,1988,Non-robust,0.237890959,2936,Non-robust,4.069366455
 ,149,NA,NA,388,Robust,5.889409542,559,Robust,0.90659523,992,Non-robust,101.6092947,1998,Non-robust,9.106037855,2937,Non-robust,7.028748751
 ,175,Non-robust,2120.578174,377,Robust,7.651961088,565,Non-robust,2.244109631,993,Robust,4902.07148,1973,Non-robust,0.918674231,2923,Non-robust,0.768284559
 ,161,Robust,0.009625435,363,Robust,1.250726223,571,Non-robust,0.361077785,987,Non-robust,380.9676943,1967,Non-robust,42.75361061,2935,Non-robust,0.45029664
 ,160,Robust,0.197275877,362,Non-robust,2.016494274,570,Non-robust,225.615967,950,Non-robust,0.878544569,1966,Non-robust,12.11093521,2921,Non-robust,0.75800395
